Paper publication venue,Paper title,"Paper topic
","Methodologies used in the human study
","Experiment design use for the evaluation

","Scale interpretation

",Methodology used for the results,Test used for the statistical significance testing,Number of annotators used in the human study,"Subjects used in the evaluation 
",Criteria or questions used in the evaluation,Coefficent used to measuring Inter-Annotator Agreement,Inter-Annotator Agreement reported,"Inter-Annotator Agreement interpretation scale used
",Strategy to improve the Inter-Annotator Agreement
ENLG 2011,Text Simplification using Typed Dependencies: A Comparison of the Robustness of Different Generation Strategies,Text simplification,Absolute judgment,Choose a category: (2 categories),Nominal,Percentage,-,2,No expert: native English speakers,"Acceptable, Unacceptable","k not better specified (k)
Percent Agreement (%)","Judge 1 - Judge 2: 0.55 (k), 0.78 (%)
Judge 1 - Developer: 0.52 (k), 0.79 (%)
Judge 2 - Developer: 0.32(k) ,  0.68 (%) ",-,-
,Generating Affective Natural Language for Parents of Neonatal Infants,Medical texts generation,"Absolute judgment (Aj) 
Relative judjment (Rj)","Relative selection
Likert: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) ","Rj: Ordinal 
Aj: Interval

No justification","Rj: Percentage
Aj: Categories correlation (used two-tailed 
Pearson cross-correlation)",-,13,"Rj, Aj; No expert: parents that previously had a child in neonatal care","Rj: Whether the participants preferred either text A or B for the given scenario
Aj: Understandability, Helpfulness, Level of which the text appropriately considers the parents’ emotional state",-,-,-,-
,Adaptive Information Presentation for Spoken Dialogue Systems: Evaluation with human subjects,Natural Language Generation in spoken dialogue,Absolute judgment,"Choose a category: (2 categories) (Chc)

Likert: (6 points) (LK6)

Alternative name: Likert item or Likert-style","Chc: Interval

No justification 

LK6: Ordinal","Chc: Percentage (?)

 LK6: Mean (?)","Chc: z-test 

LK6: Mann-Whitney",131,"No expert: people from Cambridge and Edinburgh, mostly students and Crowdsourced workers","Chc: Did you find all the information you were looking for?

LK6: The system understood me well, The phrasing of the system’s responses was good, The system’s voice was of good quality",-,-,-,-
,Combining Hierarchical Reinforcement Learning and Bayesian Networks for Natural Language Generation in Situated Dialogue,Situated Dialogue,Absolute judgment,"Likert: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) ","Interval

No justification ","Mean, Standard Deviation",t-test,12,-,Helpfulness on guiding the displayed person to the referent,-,-,-,-
,Levels of organisation in ontology verbalisation,Ontology verbalisation,Absolute judgment,"Rating: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style)  or  Numerical scale",Ordinal,Counting,Mann-Whitney ,57,Expert: Members of the ACL special interest groups SIGGEN and SIGdial,"How difficult was it to find theinformation?",-,-,-,-
,Investigation into Human Preference between Common and Unambiguous Lexical Substitutions,Lexical Substitutions,Relative judjment,Rank items,"Interval

No justification ",Assessments addition (and Pearson correlation for further analysis),-,10 (?),-,Rank all four possible replacements in order of preference as a substitution for the original word in context,-,-,-,-
,Generation of Formal and Informal Sentences,Generation of Formal and Informal Sentences,Absolute judgment,Choose a category: (2 categories),Nominal,Precision,-,2,No expert: native English speakers,Formal / Informal,"Cohen's k (k)
Percent Agreement (%)","k: 0.88
%: 0.94",-,-
,The First Surface Realisation Shared Task: Overview and Evaluation Results,Surface Realisation,Absolute judgment,Slider: (from 0 to 100),"Interval

No justification ",Mean,"One-way ANOVA, post-hoc Tukey","6 (Sr-Deep evaluation)
5 (SR-Shallow evaluation)",No expert: native English speakers,"Clarity, Readability, Meaning Similarity",-,-,-,-
,Report on the Second Second Challenge on Generating Instructions in Virtual Environments (GIVE-2.5),Generating Instructions in Virtual Environments,Absolute judgment,Slider: (from -100 to 100),"Interval 

No justification ",Assessments addition,"ANOVA, post-hoc Tukey ",-,No expert: internet anonymous users,"Overall, the system gave me good instructions.
I was confused about which direction to goin.
I could easily identify the buttons the systemdescribed to me.
I had to re-read instructions to understandwhat I needed to do.
The system’s instructions were visible longenough for me to read them.
The system’s instructions came too late ortoo early.
The system immediately offered helpwhen I was in trouble.
The system gave me useful feedback aboutmy progress.
The system was very friendly.
I felt I could trust the system’s instructions.",-,-,-,-
INLG 2012,Perceptions of Alignment and Personality in Generated Dialogue,Personality in Generated Dialogue,"Absolute judgment (Aj) 
Relative judjment (Rj)","Aj: Likert: (7 points)

Rj: Choose a category: (4 categories)

Alternative name: Graphic rating scale (or Likert item or Likert-style)  or  Numerical scale","LK7: Ordinal

 Cac: Nominal","Cac: Precision

LK7: Ordinal logistic regressions (?)","LK7, Cac: χ2 ",80,No expert: annotator from Language Experiments Portal,"LK7: How well the characters ‘got on’ with each other
How smoothly the conversation went 

Cac: which of the two characters 
scored higher on the extraversion (E), neuroticism (N), agreeableness (A) and conscientiousness (C) dimensions",-,-,-,-
,"Linguist’s Assistant: A Multi-Lingual Natural Language Generator based on Linguistic Universals, Typologies, and Primitives",Linguist’s Assistant,Relative judjment,Relative selection,Ordinal,Counting ,-,"192 Korean
 40 Jula","No expert: Korean speakers 
No expert: Jula speakers",Select the best text,-,-,-,-
,“Hidden semantics”: what can we learn from the names in an ontology?,Generation of natural language texts from ontologies,"Absolute judgment (Aj)
Relative judjment (Rj)
","First survey (Fs), Aj: Choose a category: (4 categories)

Second survey (Ss), Rj: Relative selection (Rss)

Second survey (Ss), Aj: Choose a category (Cac2): (2 categories) 

Second survey (Ss), Aj: Choose a category (CacV): (varius categories)","Fs, Aj: Nominal

Ss, Rj: Ordinal

Ss, Aj: Nominal

Ss, Aj: Nominal","Fs, Ss: Counting (and χ2  correlation for further analysis) ",Fs: χ2 ,"Fs: 30
Ss: 29 ",-,"Fs, Aj: Which sentences, if any, can be deducted  from the phrase ?

Ss, Aj, Cac2: Do you think the above paragraphs communicate the same inforamtion, implicity or explicity?

Ss, Aj, CacV: Please tick any sentence(s) from A (B) which you belive carring informatiuon not in B (A)

Ss, Rj, Rss: Plese rate your preference, in any, for one of the paragraph over the other",-,-,-,-
,On generating coherent multilingual descriptions of museum objects from Semantic Web ontologies,Generation of natural language texts from ontologies,Relative judjment,Relative selection,Ordinal,Counting ,-,"3 English
3 Swedish
3 Hebrew","No expert: native English speakers
  No expert: native Swedish speakers
  No expert: native Hebrew speakers",Choose the most coherent description,Fleiss' k,"English: 0.66
Swedish: 0.78
Hebrew: 0.72",-,-
,Planning Accessible Explanations for Entailments in OWL Ontologies,Generation of natural language texts from ontologies,Absolute judgment,"Choose a category (Cac): (4 categories) 
Rating (R): (5 points) 

Alternative name: Graphic rating scale (or Likert item or Likert-style) or  Numerical scale","Cac: Nominal 
R: Interval

No justification ","Cac: Percentage
R: Mean",-,43,No expert: university staff and students,"Cac: Choose the correct conclusion from four alternatives
R: Rate the difficulty of this choice ",-,-,-,-
ENLG 2013,Exploiting ontology lexica for generating natural language texts from RDF data,Generation of natural language texts from ontologies,Absolute judgment,"Choose a category (Cac): (2 categories)
Rating (R): Graphic rating scale (4 points) ","Cac: Nominal
R: Ordinal","Cac: Significance analysis (metric not specified)
 R: Percentage",-,93,-,"R: Fluency, Adequacy
Cac: The text is appropriate for novices or for advanced cooks",-,-,-,-
,"Using Integer Linear Programming for Content Selection, Lexicalization, and Aggregation to Produce Compact Texts from OWL Ontologies",Generation of natural language texts from ontologies,Absolute judgment,"Likert  (LK): Likert item (5 points) 
Rating (R): (5 points) 

Alternative name: Graphic rating scale (or Likert item or Likert-style) or  Numerical scale","LK, R: Interval

No justification ","LK, R: Mean",t-test,6,No expert: computer science students fluent English speakers,"LK: Fluency, Text structure, Clarity
Rs: Overall quality",-,-,-,-
,Generating Natural Language Questions to Support Learning On-Line,Question Generation,Absolute judgment,Choose a category: (2 categories),Nominal,Percentage,-,1,Expert: a graduate student from the Faculty of Education,"Grammaticality, Semantic validity, Vagueness, Answerability, Learning value",-,-,-,-
,Generating student feedback from time-series data using Reinforcement Learning,Generating student feedback,Relative judjment,Rank item,Ordinal,Mode,Mann-Whitney,17,No expert: native English speakers students ,Order items by preference,-,-,-,-
,Deconstructing Human Literature Reviews – A Framework for Multi-Document Summarization ,Summarization,Absolute judgment,Method to score the criteria analysed not specified ,-,-,-,35,"No expert: Library and Information Science and Computer
Science researchers and PhD students","Comprehensibility, Readability, Usefulness",-,-,-,-
,Abstractive Meeting Summarization with Entailment and Fusion,Summarization,Absolute judgment,Rating: Graphic scale (3 points),"Interval

No justification ","Mean, Percentage",-,2,-,Grammaticality,-,-,-,-
,MIME - NLG in Pre-Hospital Care,Medical texts generation,Absolute judgment,"Likert: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style)",Ordinal,"Med, max, mim",Friedman test,9,Expert: paramedics,"Accuracy, Understandability, Usefulness",-,-,-,-
,POS-tag based poetry generation with WordNet,Poetry generation,Turing Test-like evaluation,Turing Test-like evaluation ,Nominal,Percentage,-,2,Expert: linguists,Is the text generated by a machine or by a human?,-,-,-,-
,Greetings Generation in Video Role Playing Games,Generation of contextually greeting,Absolute judgment,Choose a category (?),"Interval

No justification ",Mean,-,7,-,"Appropriateness, Politeness, Social distance, Relative power, Feeling a sense of urgency",-,-,-,-
,GenNext: A Consolidated Domain Adaptable NLG System,NLG system designed specifically to adapt quickly and easily to different domains,Relative judjment,Relative selection ,Ordinal,Mean (?),χ2 ,Over 100,"No expert (NE): crowdsourced workers
Expert (E):  3 experts from the financial and 4 from the biography",Overall,Percent Agreement,"NE: 0.75 
E: 0.76",-,-
INLG + SIDDIAL 2014,Crowdsourcing Language Generation Templates for Dialogue Systems,Language Generation Templates,Absolute judgment,"Choose a category (Cac): (2 categories) 
Rating (R): Graphic rating scale (6 points)","Cac: Nominal
R: Interval 

No justification (note for the statistical significance test they use nonparametric statistic)","Cac: Percentage
R: Mean, Standard Deviation",Kruskal-Wallis,231,No expert: crowdsourced workers,"Cac: Do the highlighted phrases (A and B) have the same meaning? 
Cac: Does saying A (B) make sense at the point in the dialog?
R: Please rate which of the highlighted phrases (A and B) sounds more natural in the context of the given dialog",-,-,-,-
INLG 2014,A Case Study: NLG meeting Weather Industry Demand for Quality and Quantity of Textual Weather Forecasts,Weather reports generation,Absolute judgment,"Choose a category (N): (2 categories) 
Multiple-choice questions (M): (4 points)","N, M: Nominal","N, M: Percentage",-,35,No expert: end-users,"N: Did you find the text on the weather forecast page helped you to understand the forecast better?
N: Would you recommend this feature?
M: How did you find the text used?",-,-,-,-
,Text simplification using synchronous dependency grammars: Generalising automatically harvested rules,Text simplification,Absolute judgment ,"Likert: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style)","Interval

No justification","Exp1, Exp2: Mean, Standard Deviation, Median","Exp1, Exp2: One-way ANOVA, post-hoc Tukey ","First experiment (Exp 1): 28
Second experiment (Exp 2): 76","Exp1, Exp2: No expert: crowdsourced workers
","Exp1, Exp2:  Fluency, Simplicity,  Meaning preservation
",-,-,-,-
,A language-independent method for the extraction of RDF verbalization templates,Extraction verbalization templates,Absolute judgment,"Rating (R4):  Graphic scale (4 points)
Rating (R5):  Graphic scale (5 points)","R4, R5: Ordinal","R4, R5: Counting ",-,6,Expert: expert in the fields of RDF and SPARQL and that are proficient in both English and German.,"R4: Accuracy, Syntactic correctness
R5: Understandability",-,-,-,-
,A Template-based Abstractive Meeting Summarization: Leveraging Summary and Source Text Relationships,Summarization,Absolute judgment,Rating:  Graphic scale (5 points),"Interval

No justification",Mean,t-test,58,No expert: crowdsourced workers,"Overall quality, Fluency, Informativeness",-,-,-,-
,A Hybrid Approach to Multi-document Summarization of Opinions in Reviews,Summarization,Absolute judgment,"Likert: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style)","Interval

No justification",Mean,"Kruskal-Wallis, χ2, Wilcoxon signed-rank",5,No expert: crowdsourced workers,"Readability, Completeness, Compactness, Correctness",-,-,-,-
,Adapting Graph Summaries to the Users’ Reading Levels,Graph Summarization,Relative judjment ,Relative selection , Ordinal,Percentage,-,"5, 34","No expert: 5th grade, freshmen college students",Overall,-,-,-,-
,Two-Stage Stochastic Email Synthesizer,Email synthesizer,"Absolute judgment (Aj) 
Relative judjment (Rj)","Aj: Rating (R): (5 points)
Rj: Rank items (RI)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or  Numerical scale","R: Interval

No justification
 
RI: -","R: Mean
RI: -",-,"R, RI: 7",-,"RI: Overall coherence, Coherence, Fluency, Naturalness
R: Overall",-,-,-,-
,FlowGraph2Text: Automatic Sentence Skeleton Compilation for Procedural Text Generation,"Texts generation from flow graphs",Absolute judgment ,Rating: Graphic scale (5 points),"Interval

No justification",Mean,-,4,-,"
Will the dish be the same as the original recipe when you cook according to the generated text?",-,-,-,-
,Generating Valence Shifted Turkish Sentences,Valence Shifted Generation,Relative judjment,Rank items,Ordinal,Counting,-,15, No expert: native Turkish speakers,Higher valence ,-,-,-,-
,Multi-adaptive Natural Language Generation using Principal Component Regression,"Multi-adaptive approach to NaturalLanguage Generation",Relative judjment,Rank items,Ordinal,-,Mann-Whitney,30,No expert: Computer science students,Overall preference,-,-,-,-
,Two-Stage Stochastic Natural Language Generation for Email Synthesis by Modeling Sender Style and Topic Structure,Email generation,"Absolute judgment (Aj) 
Relative judjment (Rj)","Aj: Rating (R): (5 points)
Rj: Rank items (RI)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or  Numerical scale","R, RI: Interval

No justification","R: Mean
RI: Percentage",RI: t-test,7,-,"R: 1: highly confident that the email is not from the sender, 5: highly confident that the email is from that sender
RI: Coherence, Fluency, Naturalness, Preference, Overall",-,-,-,-
ENLG 2015,A Domain Agnostic Approach to Verbalizing n-ary Events without Parallel Corpora,Generation of natural language texts from knowledge base,Absolute judgment,Choose a category: (3 categories),Nominal,Percentage,-,3,-,Correctness,Fleiss' k,0.76,-,-
,Reading Times Predict the Quality of Generated Text Above and Beyond Human Ratings,Evaluation study,Relative judjment,Relative rating ,"Interval

No justification","Mean, Standard Deviation ",-,33,No expert: university students and staff,"Clarity, Fluency",-,-,-,-
,A Framework for the Generation of Computer System Diagnostics in Natural Language using Finite State Methods,Generation of Computer System Diagnostics,Absolute judgment,Rating: Graphic scale (6 points),Ordinal,"Mean, Mode, Median",-,Around 64,-,"Naturalness, Readability, Understandability",-,-,-,-
,Response Generation in Dialogue using a Tailored PCFG Parser,Dialogue generation,Absolute judgment,"Rating:  (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or  Numerical scale","Interval

No justification",Mean,-,3,-,"Grammatical fluency, Semantic correctness",-,-,-,-
,Generating and Evaluating Landmark-based Navigation Instructions in Virtual Environments,Generating Instructions in Virtual Environments,Absolute judgment,"Likert: (4 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style)",Ordinal,Mode,χ2 ,16,-,"Human-likeness, Naturalness",-,-,-,-
,"Towards Flexible, Small-Domain Surface Generation: Combining Data-Driven and Grammatical Approaches",Surface Generation,Absolute judgment,"Rating: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or  Numerical scale","Interval 

No justification","Mean, Standard Deviation",-,-,-,"Grammaticality, Meaningfulness",Percent Agreement,0.44,-,-
,Topic Transition Strategies for an Information-Giving Agent,Dialogue generation,Absolute judgment,Rating: Numeric (9 points),Ordinal,Used Kruskal-Wallis to check the staistical difference between strategies,Kruskal-Wallis,83,-,"Naturalness, Coherentes, Smoothness, Agent-friendly, Agent warmness, Agent funnies, Agent competence, Agent informedness",-,-,-,-
,Creating Textual Driver Feedback from Telemetric Data,Textual Driver Feedback Generation,"Absolute judgment (Aj)
 Relative judjment (Rj)","Aj: Likert (L): (7 points)
Rj: Rank items (RI)

Alternative name: Graphic rating scale (or Likert item or Likert-style)","L, RI: Interval

No justification","L: Median
RI: Mean","L: ANOVA, post-hoc Tukey 
RI: χ2 ",21,-,"L: The feedback is helpfu
L:  The feedback gives me an idea how I could adapt my driving behaviour
L: The feedback encourages me to change my driving behaviour
RI: ranking the feedbacks",-,-,-,-
WebNLG 2016,Aligning Texts and Knowledge Bases with Semantic Sentence Simplification,Semantic Sentence Simplification,Absolute judgment,"Rating: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or  Numerical scale","Interval

No justification",Mean,-,6,Expert: the paper's authors,Simplification quality,-,-,-,-
,Building a System for Stock News Generation in Russian,Stock news generation,Absolute judgment,Rating: Graphic scale (3 points),Ordinal,Percentage,-,-,-,Fluency,-,-,-,-
,Comparing the template-based approach to GF: the case of Afrikaans,Generation from templates and Grammatical Framework (Comparison between the two methods),Absolute judgment,"Likert: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style)","Interval

No justification",Mean,Mann-Whitney,1,   No expert: Native Afrikaans speakers ,Overall quality,-,-,-,-
Proceedings of the INLG 2016 Workshop on Computational Creativity in Natural Language Generation 2016,Assembling Narratives with Associative Threads,Generation of  narrative structure ,Absolute judgment,Rating: Numerical (5 points),Ordinal,Counting,-,13,-,"Overall, Style, Grammaticality, Flow (between sentences), 
Vocabulary, Understandability",-,-,-,-
,Process Based Evaluation of Computer Generated Poetry,Poetry generation,Absolute judgment,"Rating: (7 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or  Numerical scale","Interval

No justification","Mean, Standard Deviation",t-test,79,-,"Creativity, Meaningfulness, Quality",-,-,-,-
INLG 2016,Summarising News Stories for Children,Summarization,"Absolute judgment (Aj) 
Relative judjment (Rj)","Rj; Relative selection (Rs) (Comparative scale) (5 points) 
Aj: Likert (L): Likert item (5 points) ","Rs, L: Ordinal","Rs, L: Counting",Rs: Sign Test,27,-,"Rs: Informative, Positive, Easy, Suitable
L: I would consider showing summary {A|B} to a child if I wanted them to know more about this news story",-,-,-,-
,When to Plummet and When to Soar: Corpus Based Verb Selection for Natural Language Generation,Verb selection,Relative judjment,Rank items,Ordinal,Percentage,Binomial test,-,No expert: crowdsourced workers,Select the most natural sounding sentence,-,-,-,-
,Abstractive Compression of Captions with Attentive Recurrent Neural Networks,Caption compression generation ,Absolute judgment,"Likert: (7 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) or  Numerical scale","Interval

No justification",Mean,-,25,No expert: native English speakers from Crowdflowe,"Fluency, Importance",-,-,-,-
,Infusing NLU into Automatic Question Generation,Question Generation,Absolute judgment,Rating: Graphic scale (5 points),"Interval

No justification",Mean,t-test,4,No expert: crowdsourced workers,Overall quality,"Pearson's r (calculated between the avarege score and each set of
 workers)",0.71,-,-
